Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,Crime,Drama,Thriller,Thumindu Dodantenne,Kalana Gunasekara,Yureni Noshika,Andrew Pulle
The Filthy Frank Show,9.8,Short,Comedy,Fantasy,George 'Joji' Miller,Artemis Holdenberry,Zeeq,Bloody Hairy
Game of Thrones,9.5,Action,Adventure,Drama,Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey
Breaking Bad,9.5,Crime,Drama,Thriller,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt
Rick and Morty,9.3,Animation,Adventure,Comedy,Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roiland
The Wire,9.3,Crime,Drama,Thriller,Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce
TVF Pitchers,9.3,Comedy,Drama,Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan
Sherlock,9.2,Crime,Drama,Mystery,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves
The Sopranos,9.2,Crime,Drama,James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli
Avatar: The Last Airbender,9.2,Animation,Action,Adventure,Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena
The World at War,9.2,Documentary,History,War,Laurence Olivier,Anthony Eden,Averell Harriman,Albert Speer
Leyla ile Mecnun,9.2,Adventure,Comedy,Drama,Ali Atay,Cengiz Bozkurt,Serkan Keskin,Osman Sonant
Firefly,9.1,Adventure,Drama,Sci-Fi,Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin
Hagane no renkinjutsushi,9.1,Animation,Action,Adventure,Kent Williams,Iemasa Kayumi,Muriel Hofmann,Lili Troncale
Stranger Things,9.0,Drama,Fantasy,Horror,Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour
Fargo,9.0,Crime,Drama,Thriller,Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks
True Detective,9.0,Crime,Drama,Mystery,Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch
The Twilight Zone,9.0,Fantasy,Horror,Mystery,Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor
Death Note: Desu nôto,9.0,Animation,Crime,Drama,Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô
Last Week Tonight with John Oliver,9.0,Comedy,News,Talk-Show,John Oliver,David Kaye,Noel MacNeal,Alberto Bonilla
One Punch Man: Wanpanman,9.0,Animation,Action,Comedy,Makoto Furukawa,Max Mittelman,Kaito Ishikawa,Zach Aguilar
Batman: The Animated Series,9.0,Animation,Action,Adventure,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Robert Hastings
Black Mirror,8.9,Drama,Sci-Fi,Thriller,Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones
Friends,8.9,Comedy,Romance,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc
Westworld,8.9,Drama,Mystery,Sci-Fi,Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton
Narcos,8.9,Biography,Crime,Drama,Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann
The Marvelous Mrs. Maisel,8.9,Comedy,Drama,Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle
House of Cards,8.9,Drama,Kevin Spacey,Michel Gill,Robin Wright,Kate Mara
Seinfeld,8.9,Comedy,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander
Arrested Development,8.9,Comedy,Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett
